-e Time,			total,	used,	free,	cache
-e 14-12-17 08:40:04,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:08,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:11,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:15,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:18,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:22,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:25,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:29,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:32,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:36,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:39,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:43,	 0k,	 0k,	 0k,	 1577388k
-e 14-12-17 08:40:47,	 0k,	 0k,	 0k,	 1577392k
-e 14-12-17 08:40:50,	 0k,	 0k,	 0k,	 1577392k
-e 14-12-17 08:40:54,	 0k,	 0k,	 0k,	 1577392k
-e 14-12-17 08:40:57,	 0k,	 0k,	 0k,	 1577396k
-e 14-12-17 08:41:01,	 0k,	 0k,	 0k,	 1577396k
-e 14-12-17 08:41:04,	 0k,	 0k,	 0k,	 1577396k
-e 14-12-17 08:41:08,	 0k,	 0k,	 0k,	 1577396k
-e 14-12-17 08:41:11,	 0k,	 0k,	 0k,	 1577396k
-e 14-12-17 08:41:15,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:18,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:22,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:25,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:29,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:33,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:36,	 0k,	 0k,	 0k,	 1577392k
-e 14-12-17 08:41:40,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:43,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:47,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:50,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:54,	 0k,	 0k,	 0k,	 1577400k
-e 14-12-17 08:41:57,	 0k,	 0k,	 0k,	 1577392k
-e 14-12-17 08:42:01,	 0k,	 0k,	 0k,	 1577400k
