-e Time,			IN(KBytes/s),	OUT(KByte/s)
-e 2014-12-17 08:35:21,	0,		0
-e 2014-12-17 08:35:22,	3,		5
-e 2014-12-17 08:35:23,	3,		8
-e 2014-12-17 08:35:24,	3,		6
-e 2014-12-17 08:35:25,	3,		4
-e 2014-12-17 08:35:26,	2,		3
-e 2014-12-17 08:35:27,	0,		0
-e 2014-12-17 08:35:28,	0,		0
-e 2014-12-17 08:35:29,	0,		0
-e 2014-12-17 08:35:30,	0,		0
-e 2014-12-17 08:35:31,	0,		0
-e 2014-12-17 08:35:32,	0,		0
-e 2014-12-17 08:35:33,	0,		0
-e 2014-12-17 08:35:34,	0,		0
-e 2014-12-17 08:35:35,	0,		0
-e 2014-12-17 08:35:36,	0,		0
-e 2014-12-17 08:35:37,	0,		0
-e 2014-12-17 08:35:38,	0,		0
-e 2014-12-17 08:35:39,	0,		0
-e 2014-12-17 08:35:40,	0,		0
-e 2014-12-17 08:35:41,	0,		0
-e 2014-12-17 08:35:42,	0,		0
-e 2014-12-17 08:35:43,	0,		0
-e 2014-12-17 08:35:44,	0,		0
-e 2014-12-17 08:35:45,	0,		0
-e 2014-12-17 08:35:46,	0,		0
-e 2014-12-17 08:35:47,	0,		0
-e 2014-12-17 08:35:49,	0,		0
-e 2014-12-17 08:35:50,	0,		0
-e 2014-12-17 08:35:51,	0,		0
-e 2014-12-17 08:35:52,	0,		0
-e 2014-12-17 08:35:53,	0,		0
-e 2014-12-17 08:35:54,	0,		0
-e 2014-12-17 08:35:55,	0,		0
-e 2014-12-17 08:35:56,	0,		0
-e 2014-12-17 08:35:57,	0,		0
-e 2014-12-17 08:35:58,	0,		0
-e 2014-12-17 08:35:59,	0,		0
-e 2014-12-17 08:36:00,	0,		0
-e 2014-12-17 08:36:01,	0,		0
-e 2014-12-17 08:36:02,	0,		0
-e 2014-12-17 08:36:03,	0,		0
-e 2014-12-17 08:36:04,	0,		0
-e 2014-12-17 08:36:05,	0,		0
-e 2014-12-17 08:36:06,	0,		0
-e 2014-12-17 08:36:07,	0,		0
-e 2014-12-17 08:36:08,	0,		0
-e 2014-12-17 08:36:09,	0,		0
