-e Time,			total,	used,	buffer
-e 14-12-17 08:45:30,	 61598796k,	 3279576k,	 58319220k
-e 14-12-17 08:45:33,	 61598796k,	 3280328k,	 58318468k
-e 14-12-17 08:45:37,	 61598796k,	 3279160k,	 58319636k
-e 14-12-17 08:45:40,	 61598796k,	 3280508k,	 58318288k
-e 14-12-17 08:45:44,	 61598796k,	 3280504k,	 58318292k
-e 14-12-17 08:45:47,	 61598796k,	 3279200k,	 58319596k
-e 14-12-17 08:45:51,	 61598796k,	 3280576k,	 58318220k
-e 14-12-17 08:45:54,	 61598796k,	 3279372k,	 58319424k
-e 14-12-17 08:45:58,	 61598796k,	 3279332k,	 58319464k
-e 14-12-17 08:46:01,	 61598796k,	 3280072k,	 58318724k
-e 14-12-17 08:46:05,	 61598796k,	 3280224k,	 58318572k
-e 14-12-17 08:46:09,	 61598796k,	 3278628k,	 58320168k
-e 14-12-17 08:46:12,	 61598796k,	 3279920k,	 58318876k
-e 14-12-17 08:46:16,	 61598796k,	 3280192k,	 58318604k
-e 14-12-17 08:46:19,	 61598796k,	 3278936k,	 58319860k
-e 14-12-17 08:46:23,	 61598796k,	 3279112k,	 58319684k
-e 14-12-17 08:46:26,	 61598796k,	 3279844k,	 58318952k
-e 14-12-17 08:46:30,	 61598796k,	 3279848k,	 58318948k
-e 14-12-17 08:46:33,	 61598796k,	 3279856k,	 58318940k
-e 14-12-17 08:46:37,	 61598796k,	 3279752k,	 58319044k
-e 14-12-17 08:46:40,	 61598796k,	 3279212k,	 58319584k
-e 14-12-17 08:46:44,	 61598796k,	 3278656k,	 58320140k
-e 14-12-17 08:46:48,	 61598796k,	 3278360k,	 58320436k
-e 14-12-17 08:46:51,	 61598796k,	 3279576k,	 58319220k
-e 14-12-17 08:46:55,	 61598796k,	 3278948k,	 58319848k
-e 14-12-17 08:46:58,	 61598796k,	 3279860k,	 58318936k
-e 14-12-17 08:47:02,	 61598796k,	 3279604k,	 58319192k
-e 14-12-17 08:47:05,	 61598796k,	 3280332k,	 58318464k
-e 14-12-17 08:47:09,	 61598796k,	 3280212k,	 58318584k
-e 14-12-17 08:47:12,	 61598796k,	 3281488k,	 58317308k
-e 14-12-17 08:47:16,	 61598796k,	 3282336k,	 58316460k
-e 14-12-17 08:47:19,	 61598796k,	 3281284k,	 58317512k
-e 14-12-17 08:47:23,	 61598796k,	 3282504k,	 58316292k
-e 14-12-17 08:47:26,	 61598796k,	 3280684k,	 58318112k
-e 14-12-17 08:47:30,	 61598796k,	 3281600k,	 58317196k
-e 14-12-17 08:47:34,	 61598796k,	 3281472k,	 58317324k
-e 14-12-17 08:47:37,	 61598796k,	 3281292k,	 58317504k
-e 14-12-17 08:47:41,	 61598796k,	 3281220k,	 58317576k
-e 14-12-17 08:47:44,	 61598796k,	 3281140k,	 58317656k
-e 14-12-17 08:47:48,	 61598796k,	 3280696k,	 58318100k
-e 14-12-17 08:47:51,	 61598796k,	 3281276k,	 58317520k
-e 14-12-17 08:47:55,	 61598796k,	 3281560k,	 58317236k
-e 14-12-17 08:47:58,	 61598796k,	 3280956k,	 58317840k
-e 14-12-17 08:48:02,	 61598796k,	 3281656k,	 58317140k
-e 14-12-17 08:48:05,	 61598796k,	 3280712k,	 58318084k
-e 14-12-17 08:48:09,	 61598796k,	 3280812k,	 58317984k
-e 14-12-17 08:48:13,	 61598796k,	 3281528k,	 58317268k
-e 14-12-17 08:48:16,	 61598796k,	 3280732k,	 58318064k
-e 14-12-17 08:48:20,	 61598796k,	 3282280k,	 58316516k
-e 14-12-17 08:48:23,	 61598796k,	 3282064k,	 58316732k
-e 14-12-17 08:48:27,	 61598796k,	 3281408k,	 58317388k
-e 14-12-17 08:48:30,	 61598796k,	 3281476k,	 58317320k
-e 14-12-17 08:48:34,	 61598796k,	 3281744k,	 58317052k
-e 14-12-17 08:48:37,	 61598796k,	 3281512k,	 58317284k
-e 14-12-17 08:48:41,	 61598796k,	 3281988k,	 58316808k
-e 14-12-17 08:48:44,	 61598796k,	 3280640k,	 58318156k
-e 14-12-17 08:48:48,	 61598796k,	 3281912k,	 58316884k
-e 14-12-17 08:48:51,	 61598796k,	 3280692k,	 58318104k
-e 14-12-17 08:48:55,	 61598796k,	 3281856k,	 58316940k
-e 14-12-17 08:48:59,	 61598796k,	 3281256k,	 58317540k
-e 14-12-17 08:49:02,	 61598796k,	 3279544k,	 58319252k
-e 14-12-17 08:49:06,	 61598796k,	 3279324k,	 58319472k
-e 14-12-17 08:49:09,	 61598796k,	 3279120k,	 58319676k
-e 14-12-17 08:49:13,	 61598796k,	 3278724k,	 58320072k
-e 14-12-17 08:49:16,	 61598796k,	 3279364k,	 58319432k
-e 14-12-17 08:49:20,	 61598796k,	 3279988k,	 58318808k
-e 14-12-17 08:49:23,	 61598796k,	 3279024k,	 58319772k
-e 14-12-17 08:49:27,	 61598796k,	 3280112k,	 58318684k
-e 14-12-17 08:49:30,	 61598796k,	 3278044k,	 58320752k
-e 14-12-17 08:49:34,	 61598796k,	 3279720k,	 58319076k
-e 14-12-17 08:49:37,	 61598796k,	 3279312k,	 58319484k
-e 14-12-17 08:49:41,	 61598796k,	 3279824k,	 58318972k
-e 14-12-17 08:49:45,	 61598796k,	 3278680k,	 58320116k
-e 14-12-17 08:49:48,	 61598796k,	 3280832k,	 58317964k
-e 14-12-17 08:49:52,	 61598796k,	 3278280k,	 58320516k
-e 14-12-17 08:49:55,	 61598796k,	 3279996k,	 58318800k
-e 14-12-17 08:49:59,	 61598796k,	 3279232k,	 58319564k
-e 14-12-17 08:50:02,	 61598796k,	 3280568k,	 58318228k
-e 14-12-17 08:50:06,	 61598796k,	 3279588k,	 58319208k
-e 14-12-17 08:50:09,	 61598796k,	 3280308k,	 58318488k
-e 14-12-17 08:50:13,	 61598796k,	 3279412k,	 58319384k
-e 14-12-17 08:50:16,	 61598796k,	 3280480k,	 58318316k
-e 14-12-17 08:50:20,	 61598796k,	 3279668k,	 58319128k
-e 14-12-17 08:50:23,	 61598796k,	 3280016k,	 58318780k
-e 14-12-17 08:50:27,	 61598796k,	 3279916k,	 58318880k
-e 14-12-17 08:50:31,	 61598796k,	 3281064k,	 58317732k
-e 14-12-17 08:50:34,	 61598796k,	 3280140k,	 58318656k
-e 14-12-17 08:50:38,	 61598796k,	 3279924k,	 58318872k
-e 14-12-17 08:50:41,	 61598796k,	 3281396k,	 58317400k
-e 14-12-17 08:50:45,	 61598796k,	 3280136k,	 58318660k
-e 14-12-17 08:50:48,	 61598796k,	 3282396k,	 58316400k
-e 14-12-17 08:50:52,	 61598796k,	 3282084k,	 58316712k
-e 14-12-17 08:50:55,	 61598796k,	 3279772k,	 58319024k
-e 14-12-17 08:50:59,	 61598796k,	 3280772k,	 58318024k
-e 14-12-17 08:51:02,	 61598796k,	 3280916k,	 58317880k
-e 14-12-17 08:51:06,	 61598796k,	 3280716k,	 58318080k
